rule,ra,rb,rb_max
106,0.00828116508941195,"[0.09190301 0.04189401 0.04335036 0.0287113  0.01166306 0.01255528
 0.01345447]",0.09190300976987589
107,0.002062144437846146,"[0.00747222 0.00651805 0.00417559 0.00377822 0.00202811 0.00383432
 0.00214257]",0.007472215837608657
108,0.007735844214711555,"[0.020242   0.01464645 0.01651377 0.01849826 0.01929593 0.02729147
 0.01016922]",0.027291470526376198
109,0.007208202118266198,"[0.01827302 0.01795832 0.01575734 0.026611   0.01629731 0.0105078
 0.01945111]",0.026611003780808818
110,0.0011628884399672405,"[0.00175918 0.00220551 0.00140482 0.00073077 0.00083822 0.0008057
 0.00120489]",0.002205510774804279
111,0.0009586870982656566,"[0.00209493 0.00120735 0.00166405 0.00099713 0.00086162 0.00105163
 0.00052202]",0.0020949307675039892
112,0.0,"[0.00015664 0.         0.         0.         0.         0.
 0.        ]",0.00015663626858081314
113,0.0033539424799376555,"[0.00351491 0.0033007  0.00356309 0.00401649 0.00265392 0.00243511
 0.00342479]",0.0040164884370653105
114,0.0010520011165423492,"[0.04879391 0.02421522 0.02486385 0.00200395 0.00355072 0.00166178
 0.        ]",0.04879391363619553
115,0.0020894941287990898,"[0.00343019 0.00354898 0.00221364 0.00316749 0.00225691 0.00266097
 0.00143902]",0.003548984428845909
116,0.004987727319082692,"[0.00537345 0.00692948 0.00771104 0.00728898 0.00777111 0.006867
 0.00548995]",0.0077711055167447715
117,0.000834404074013394,"[0.00255068 0.00397055 0.00326725 0.00240505 0.00186626 0.00150458
 0.0009458 ]",0.003970546322011357
118,0.0006159017134533993,"[0.00411323 0.00356034 0.00288113 0.00195963 0.00215649 0.00203187
 0.00259704]",0.004113233579094471
119,0.001339300931130451,"[0.00279398 0.00392835 0.00164736 0.00210512 0.00177864 0.00152343
 0.00217493]",0.0039283499504668895
120,0.004306315222281202,"[0.08682604 0.06860815 0.02891482 0.03814456 0.02646026 0.00883643
 0.00469574]",0.08682604245965808
121,0.0016564002851852798,"[0.00532413 0.004633   0.004131   0.00159169 0.00217949 0.00333589
 0.00268407]",0.005324130303820814
122,0.004617818663216312,"[0.01284311 0.01137701 0.00976283 0.00583479 0.00683    0.00737738
 0.00629625]",0.012843111302815534
123,0.002700744459389099,"[0.00360878 0.00317193 0.00388693 0.00147204 0.00249728 0.00219724
 0.0019416 ]",0.003886934157257765
124,0.00034299335918415723,"[0.0019785  0.00078281 0.00124285 0.0016224  0.0014317  0.00116594
 0.00124432]",0.0019784955002335623
125,0.0010076564040243977,"[0.00136698 0.00127241 0.00094663 0.00131702 0.00105429 0.00142972
 0.00080749]",0.0014297191421383626
